srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,10.42.0.1,*,17,67,*,1400,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,10.42.0.1,17,*,67,1400,*,*,0,0
b8:06:0d:18:84:b4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,6667,1300,*,*,4066,19
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,*,*,1,*,*,1000,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,*,1,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,*,17,*,123,1000,*,*,0,0
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,*,*,*,*,17,53,*,1000,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,*,*,*,*,17,*,53,1000,*,*,0,0
*,b8:06:0d:18:84:b4,0x0806,*,*,*,*,*,*,1000,*,*,84,2
b8:06:0d:18:84:b4,*,0x0806,*,*,*,*,*,*,1000,*,*,84,2
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,18.185.182.159,6,*,443,855,*,*,1386,7
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,10.42.0.174,3.124.225.12,6,40572,8886,810,*,*,4463,37
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,3.124.225.12,10.42.0.174,6,8886,40572,810,*,*,7906,38
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,*,17,*,*,800,*,*,0,0
b8:06:0d:18:84:b4,d8:3a:dd:ee:25:0a,0x0800,*,*,*,6,*,*,800,*,*,220,4
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,18.185.182.159,*,6,443,*,750,*,*,1027,8
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,*,*,17,*,*,700,*,*,0,0
d8:3a:dd:ee:25:0a,b8:06:0d:18:84:b4,0x0800,*,*,*,6,*,*,700,*,*,534,2
b8:06:0d:18:84:b4,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,b8:06:0d:18:84:b4,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,b8:06:0d:18:84:b4,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,b8:06:0d:18:84:b4,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,b8:06:0d:18:84:b4,0x0800,*,*,*,6,*,*,600,*,*,0,0
