srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,10.42.0.1,*,17,67,*,1400,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,*,10.42.0.1,17,*,67,1400,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,*,*,1,*,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,*,*,1,*,*,1000,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,*,*,17,123,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,*,*,17,*,123,1000,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,*,*,*,*,17,53,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,*,*,*,*,17,*,53,1000,*,*,0,0
*,40:ae:30:46:6e:a8,0x0806,*,*,*,*,*,*,1000,*,*,0,0
40:ae:30:46:6e:a8,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,10.42.0.205,52.212.130.239,6,52433,443,810,*,*,2789,9
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,52.212.130.239,10.42.0.205,6,443,52433,810,*,*,1651,9
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,*,*,17,*,*,800,*,*,0,0
40:ae:30:46:6e:a8,d8:3a:dd:ee:25:0a,0x0800,*,*,*,6,*,*,800,*,*,54,1
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,*,*,17,*,*,700,*,*,0,0
d8:3a:dd:ee:25:0a,40:ae:30:46:6e:a8,0x0800,*,*,*,6,*,*,700,*,*,0,0
40:ae:30:46:6e:a8,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,40:ae:30:46:6e:a8,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,40:ae:30:46:6e:a8,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,40:ae:30:46:6e:a8,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,40:ae:30:46:6e:a8,0x0800,*,*,*,6,*,*,600,*,*,0,0
